epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3471.97,0.62303,0.49219,1.1442,0.9701,0.97466,0.97598,0.82268,0.62631,0.4436,1.12738,0.000494885,0.000494885,0.000494885
43,3554.51,0.60922,0.48384,1.13323,0.97309,0.9696,0.97572,0.82204,0.62237,0.4323,1.12301,0.000486639,0.000486639,0.000486639
44,3637.1,0.62107,0.48862,1.14416,0.97099,0.97806,0.97905,0.83272,0.61407,0.41852,1.1189,0.000478392,0.000478392,0.000478392
45,3720.11,0.60752,0.47121,1.13152,0.96628,0.98221,0.97679,0.83058,0.61821,0.42288,1.1244,0.000470145,0.000470145,0.000470145
46,3802.79,0.60078,0.47873,1.13072,0.96758,0.98381,0.98001,0.82739,0.62552,0.4236,1.1328,0.000461898,0.000461898,0.000461898
47,3885.46,0.60865,0.47761,1.13203,0.96869,0.97663,0.97765,0.83402,0.61228,0.41295,1.1111,0.000453652,0.000453652,0.000453652
48,3968.66,0.5956,0.4731,1.12464,0.9658,0.97588,0.97476,0.83375,0.62537,0.43551,1.12291,0.000445405,0.000445405,0.000445405
49,4051.66,0.59303,0.47297,1.12531,0.96742,0.97933,0.9797,0.83829,0.60859,0.41012,1.11535,0.000437158,0.000437158,0.000437158
50,4134.73,0.59787,0.46508,1.11966,0.97324,0.9752,0.97899,0.82675,0.61065,0.41645,1.10753,0.000428912,0.000428912,0.000428912
51,4217.41,0.5843,0.47534,1.11587,0.97273,0.97691,0.97903,0.83986,0.60289,0.41772,1.10756,0.000420665,0.000420665,0.000420665
52,4300.36,0.57689,0.46154,1.11652,0.96942,0.9786,0.97811,0.83896,0.59804,0.42427,1.10136,0.000412418,0.000412418,0.000412418
53,4383.17,0.57586,0.45984,1.11267,0.96745,0.97848,0.97686,0.83021,0.59466,0.41327,1.09683,0.000404172,0.000404172,0.000404172
54,4465.9,0.57841,0.45802,1.11103,0.96947,0.97753,0.98001,0.83689,0.60138,0.4065,1.11433,0.000395925,0.000395925,0.000395925
